scenario_id,field,provenance_type,source_or_rule,region,source_visibility
B_SPOTGPU2026_MEDIUM,source,CONSTANT,scenario id,deployable_current,metadata
B_SPOTGPU2026_MEDIUM,task_id,DERIVED,prefix + job_name,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,submit_time,DIRECT,submit_time,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,arrival_step,DERIVED,floor(submit_time/900),deployable_current,deployable
B_SPOTGPU2026_MEDIUM,original_index,DERIVED,source row position,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,cpu_request_raw,DIRECT,cpu_request,deployable_current,audit
B_SPOTGPU2026_MEDIUM,gpu_request_raw,DIRECT,gpu_request,deployable_current,audit
B_SPOTGPU2026_MEDIUM,worker_num,DIRECT,worker_num,deployable_current,deployable metadata
B_SPOTGPU2026_MEDIUM,request_scope,CONSTANT,PER_JOB,deployable_current,audit
B_SPOTGPU2026_MEDIUM,cpu_request_effective,DIRECT,cpu_request,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,gpu_request_effective,DIRECT,gpu_request,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,memory_request,MODELED,Alibaba2020 train conditional median,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,memory_source,CONSTANT,memory model id,deployable_current,audit
B_SPOTGPU2026_MEDIUM,memory_fallback_level,MODELED,memory model support fallback,deployable_current,audit
B_SPOTGPU2026_MEDIUM,bandwidth,MODELED,Alibaba2020 train global median,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,true_duration,SIMULATOR_ONLY,DIRECT_SOURCE duration,simulator_only,forbidden deployable
B_SPOTGPU2026_MEDIUM,bandwidth_source,CONSTANT,bandwidth model id,deployable_current,audit
B_SPOTGPU2026_MEDIUM,estimated_duration,MODELED,Spot train hierarchical median,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,true_duration_source,CONSTANT,DIRECT_SOURCE_SIMULATOR_ONLY,deployable_current,audit
B_SPOTGPU2026_MEDIUM,gpu_model,DIRECT,gpu_model,deployable_current,metadata-only
B_SPOTGPU2026_MEDIUM,estimated_duration_steps,DERIVED,ceil(estimated_duration/900),deployable_current,deployable
B_SPOTGPU2026_MEDIUM,estimated_duration_source,CONSTANT,duration model id,deployable_current,audit
B_SPOTGPU2026_MEDIUM,estimated_duration_fallback_level,MODELED,duration hierarchy fallback,deployable_current,audit
B_SPOTGPU2026_MEDIUM,priority,DIRECT,job_type,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,origin_dc,MODELED,deterministic weighted hash,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,origin_source,CONSTANT,MODELED_ORIGIN,deployable_current,audit
B_SPOTGPU2026_MEDIUM,sla_class,MODELED,scenario profile,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,sla_steps,MODELED,estimated steps + wait,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,sla_deadline_step,MODELED,arrival + estimated steps + wait,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,max_wait_steps,MODELED,selected scenario profile,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,defer_allowed,MODELED,selected scenario profile,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,defer_class,MODELED,scenario profile,deployable_current,deployable
B_SPOTGPU2026_MEDIUM,sla_source,CONSTANT,MODELED_SCENARIO_PARAMETER,deployable_current,audit
B_SPOTGPU2026_MEDIUM,gpu_heterogeneity_mode,CONSTANT,METADATA_ONLY,deployable_current,audit
B_SPOTGPU2026_MEDIUM,provenance_flags,CONSTANT,field-class summary,deployable_current,audit
A_ALIBABA2020_REPAIRED,state_id,DERIVED,state key,deployable_current,deployable_current
A_ALIBABA2020_REPAIRED,pending_task_ids,DIRECT_STATE,complete ordered pending batch,deployable_current,deployable_current
A_ALIBABA2020_REPAIRED,running_task_ids,DIRECT_STATE,continuous simulator,deployable_current,deployable_current
A_ALIBABA2020_REPAIRED,in_transit_task_ids,DIRECT_STATE,continuous simulator,deployable_current,deployable_current
ALL,h1_action,LABEL,H1_REPAIRED_CURRENT_ONLY,labels,labels
ALL,oracle_h4_action,LABEL,H4_ORACLE_REPAIRED,labels,labels
ALL,future_pressure_15_30_45_60,PRIVILEGED,oracle future,privileged_future,privileged_future
ALL,true_duration,SIMULATOR_ONLY,source truth,simulator_only,simulator_only
ALL,joint_action_group,DERIVED,state_id,labels,labels
